id,lastpage,randnumber,v1f1,v1f2,v2f1,v2f2,v3f1,v3f2,v4f1,v4f2,v5f1,v5f2,v6f1,v6f2,v7f1,v7f2,v8f1,v8f2,konsq001,konsq002,konsq003,gender_1,gender_2,gender_3,age,edu1,edu2,edu3,edu4,edu5,edu6,edu7
1,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,Y,,,50,,Y,,,,,
2,24,2,,,N,AO03,,,,,,,,,,,,,,,Y,Y,,,43,,,,Y,,,
3,24,8,,,,,,,,,,,,,,,Y,AO04,,,Y,,,Y,57,,Y,,,,,
4,24,4,,,,,,,N,AO02,,,,,,,,,,,Y,Y,,,59,,,,Y,,,
5,24,3,,,,,N,AO04,,,,,,,,,,,,,Y,Y,,,54,,Y,,,,,
6,21,3,,,,,N,AO03,,,,,,,,,,,,Y,,,,,,,,,,,,
7,24,6,,,,,,,,,,,Y,AO04,,,,,,,Y,,,Y,34,,Y,,,,,
8,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,Y,,,46,,Y,,,,,
9,24,8,,,,,,,,,,,,,,,Y,AO07,,,Y,Y,,,45,,,Y,,,,
10,24,3,,,,,Y,AO01,,,,,,,,,,,,,Y,Y,,,55,,Y,,,,,
11,24,5,,,,,,,,,Y,AO07,,,,,,,,,Y,,,Y,67,,,,Y,,,
12,24,2,,,Y,AO08,,,,,,,,,,,,,,,Y,,,Y,65,,Y,,,,,
13,20,6,,,,,,,,,,,N,AO04,,,,,Y,Y,,,,,,,,,,,,
14,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,,,Y,70,,Y,,,,,
15,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,,,Y,30,,,,Y,,,
16,24,7,,,,,,,,,,,,,N,AO01,,,,,Y,,,Y,66,,,Y,,,,
17,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,,,Y,64,,Y,,,,,
18,24,6,,,,,,,,,,,N,AO02,,,,,,,Y,,,Y,67,,Y,,,,,
19,24,7,,,,,,,,,,,,,N,AO02,,,,,Y,,,Y,47,,,,Y,,,
20,24,4,,,,,,,Y,AO01,,,,,,,,,,,Y,Y,,,25,,Y,,,,,
21,24,3,,,,,Y,AO03,,,,,,,,,,,,,Y,Y,,,59,,,Y,,,,
