id,lastpage,randnumber,friedlichgerecht,friedlichgewalt,blockieren1gerecht,blockieren1gewalt,blockieren2gerecht,blockieren2gewalt,gewalt1gerecht,gewalt1gewalt,gewalt2gerecht,gewalt2gewalt,kontrollfrage,alter,geschlecht,bildung,partei,parteiother,politischeaktiv1,politischeaktiv2,politischeaktiv3,politischeaktiv4,politischeaktiv5,politischeaktiv6,polizei1,umweltschutz1
1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,2,,,Y,N,,,,,,,2,65,2,4,3,,Y,,,,Y,,4,4
4,22,1,N,N,,,,,,,,,2,35,1,4,-oth-,Keine,,,,,Y,,4,5
5,22,5,,,,,,,,,Y,N,2,34,2,6,7,,Y,,,,,,3,5
6,22,5,,,,,,,,,N,Y,2,51,2,4,2,,Y,,,,,,4,4
7,4,1,,,,,,,,,,,,,,,,,,,,,,,,
8,22,4,,,,,,,Y,N,,,2,59,1,6,-oth-,PdF,Y,,,,Y,,3,4
9,22,2,,,Y,N,,,,,,,2,55,2,6,1,,Y,,,,,,3,5
10,22,2,,,Y,N,,,,,,,2,44,2,6,3,,Y,,,,Y,,5,4
11,22,2,,,Y,N,,,,,,,2,72,1,6,7,,Y,,,,,,4,4
12,22,2,,,N,Y,,,,,,,2,55,2,6,2,,Y,,,,,,5,5
13,-1,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,1,Y,N,,,,,,,,,2,58,2,7,2,,Y,,,,,,5,4
15,22,3,,,,,Y,N,,,,,2,67,2,5,6,,Y,,,,,,4,5
16,22,1,Y,N,,,,,,,,,2,20,2,6,1,,Y,,,,,,5,4
17,12,5,,,,,,,,,,,,,,,,,,,,,,,,
18,22,2,,,N,Y,,,,,,,2,31,1,5,-oth-,Die Partei,Y,,,,,,3,2
19,22,5,,,,,,,,,Y,Y,2,49,1,10,2,,Y,,,,,,5,3
20,22,1,N,Y,,,,,,,,,2,63,1,5,1,,,,,,Y,,5,2
21,22,1,Y,N,,,,,,,,,2,63,1,3,8,,,,,,Y,,3,1
22,22,2,,,Y,N,,,,,,,2,55,1,6,7,,Y,,,,,,4,4
23,10,4,,,,,,,,,,,,,,,,,,,,,,,,
24,22,3,,,,,N,Y,,,,,2,68,2,6,3,,Y,,,,,,4,5
25,22,1,Y,N,,,,,,,,,2,70,2,6,7,,Y,,,,,,4,4
26,9,3,,,,,Y,,,,,,,,,,,,,,,,,,,
27,22,4,,,,,,,N,Y,,,2,42,2,6,8,,Y,Y,,,,,5,3
28,22,1,N,N,,,,,,,,,2,67,1,7,3,,Y,,,,,,4,5
29,22,4,,,,,,,Y,N,,,2,44,1,6,8,,,,,,,Y,3,3
30,22,5,,,,,,,,,N,Y,2,55,1,6,1,,Y,,,,,,4,5
31,15,4,,,,,,,Y,Y,,,1,,,,,,,,,,,,,
32,22,3,,,,,N,N,,,,,2,54,1,5,5,,Y,,,,Y,,3,3
33,22,1,Y,Y,,,,,,,,,2,68,1,6,2,,Y,,,,,,4,1
34,22,4,,,,,,,Y,N,,,2,64,1,3,8,,Y,,,,,,3,4
35,22,5,,,,,,,,,Y,Y,2,48,2,4,8,,,,,,Y,,5,4
36,22,5,,,,,,,,,N,Y,2,25,2,6,8,,,,,,Y,,3,2
37,22,4,,,,,,,Y,N,,,2,31,1,5,5,,Y,Y,,,,,4,3
38,2,,,,,,,,,,,,,,,,,,,,,,,,,
39,22,3,,,,,N,N,,,,,2,55,1,6,2,,Y,,,,,,4,5
40,22,2,,,N,N,,,,,,,2,68,1,8,-oth-,die partei,Y,,,Y,,,4,3
41,22,5,,,,,,,,,N,Y,2,48,2,5,4,,Y,,,,,,4,4
42,22,2,,,Y,N,,,,,,,2,58,2,5,2,,Y,,,,,,5,5
43,22,3,,,,,Y,N,,,,,2,32,1,7,8,,,,,,,Y,3,3
44,22,5,,,,,,,,,N,Y,2,69,2,5,2,,Y,,,,Y,,4,5
45,22,2,,,Y,Y,,,,,,,2,49,2,4,3,,,Y,,,,,3,3
46,22,1,Y,N,,,,,,,,,2,40,2,6,-oth-,ÃDP,Y,,,,,,4,5
47,22,3,,,,,N,Y,,,,,2,56,2,8,8,,Y,Y,,,,,4,3
48,22,2,,,Y,N,,,,,,,2,55,2,9,-oth-,BÃ¼ndnis Sarah Wagenkbecht,Y,,Y,,,,3,4
49,22,2,,,Y,N,,,,,,,2,71,1,8,3,,Y,Y,,Y,,,3,5
50,2,,,,,,,,,,,,,,,,,,,,,,,,,
51,22,5,,,,,,,,,N,N,2,51,2,5,2,,,,,,Y,,4,2
52,22,1,N,Y,,,,,,,,,2,42,1,8,2,,Y,Y,Y,,,,4,5
53,-1,,,,,,,,,,,,,,,,,,,,,,,,,
