id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
1,45,6,,,,,,,,,,,,,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,3,49,Y,,,,,,,,,,,,Y,,,Y,
2,45,4,,,,,,,,,,N,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,52,,,Y,,,,,,,,,,Y,Y,,,
3,45,7,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,,,,3,49,,,Y,,,,Y,,,,,,,,,Y,
4,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO07,N,,,,,,,,,,,,,3,31,Y,,,,,,Y,,,,,,,,,Y,
5,45,1,Y,AO06,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,52,Y,,,,,Y,,,,,,,,Y,,,
6,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,N,,,,,,,3,67,Y,,,,,,,Y,,,,,,,,Y,
7,45,4,,,,,,,,,,N,AO06,N,,,,,,,,,,,,,,,,,,,,,,,,,3,26,,,Y,,,,Y,,,,,,,,,,Y
8,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,,,Y,,,Y,,,,,,,,,,Y,
9,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,,,,,,,,,,3,29,Y,,,,,,Y,,,,,,,,,Y,
10,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,,,,,,,,,,3,27,,,Y,,,Y,,,,,,,Y,,Y,,
