ID;Condition;Ascription;Answer
1;Help;3;No
2;Help;5;Yes
3;Help;0;No
4;Help;4;No
5;Help;6;Yes
6;Help;4;No
7;Harm;5;No
8;Harm;4;Yes
9;Harm;6;Yes
10;Harm;6;Yes
11;Harm;5;Yes
12;Harm;3;Yes
13;Harm;6;Yes
14;Harm;6;Yes
15;Harm;5;Yes
16;Harm;5;Yes
17;Harm;5;Yes
18;Harm;4;Yes
19;Harm;4;Yes
20;Harm;2;No
21;Help;2;No
22;Help;2;No
23;Help;0;No
24;Help;0;No
25;Help;1;No
26;Help;1;No
27;Help;1;No
28;Help;3;Yes
29;Help;0;No
30;Help;1;No
31;Help;1;No
32;Help;0;No
33;Help;1;No
34;Help;0;No
35;Harm;6;No
36;Harm;6;Yes
37;Harm;5;Yes
38;Harm;0;No
39;Harm;6;Yes
40;Harm;6;Yes
41;Help;0;Yes
42;Help;5;No
43;Help;3;No
44;Help;1;No
45;Help;5;No
46;Help;4;No
47;Harm;4;Yes
48;Harm;5;Yes
49;Harm;6;Yes
50;Harm;2;Yes
51;Harm;6;Yes
52;Harm;6;Yes
